sr,isin,is_equity,nse_symbol,bse_code,bse_ticker,company_name,listed_on,segment,nse_series,bse_group,bse_status
4380,INE11XK01017,Y,,544774,SMR,SMR Jewels Limited,BSE only,BSE Equity,,M,Active
4381,INE172E01011,Y,,540686,SMRUTHIORG,Smruthi Organics Limited,BSE only,BSE Equity,,X,Active
4382,INE812G01025,Y,SMSPHARMA,532815,SMSPHARMA,SMS Pharmaceuticals Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4383,INE673E01018,Y,,538563,SMTEL,SMT ENGINEERING LIMITED,BSE only,BSE Equity,,X,Active
4384,INE702Y01013,Y,SMVD,,,SMVD Poly Pack Limited,NSE only,NSE SME (Emerge),SM,,
4385,INE1OIC01018,Y,SNEHAA,,,Snehaa Organics Limited,NSE only,NSE SME (Emerge),SM,,
4386,INE730R01042,Y,,539911,SNIM,Svarnim Trade Udyog Limited,BSE only,BSE Equity,,X,Active
4387,INE568F01017,Y,,505827,SNL,SNL Bearings Ltd.,BSE only,BSE Equity,,X,Active
4388,INE734N01019,Y,SNOWMAN,538635,SNOWMAN,Snowman Logistics Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4389,INE671H01015,Y,SOBHA,532784,SOBHA,Sobha Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4390,INE754D01018,Y,,512014,SOBME,Sobhagya Mercantile Ltd.,BSE only,BSE Equity,,X,Active
4391,INE0CTB01014,Y,SOCL,,,Sundrex Oil Company Limited,NSE only,NSE SME (Emerge),SM,,
4392,INE0QU501030,Y,,544560,SODHACAP,SODHANI CAPITAL LIMITED,BSE only,BSE Equity,,M,Active
4393,INE499Q01012,Y,,538923,SOFCOM,SOFCOM SYSTEMS LIMITED,BSE only,BSE Equity,,XT,Active
4394,INE562E01021,Y,,531529,SOFTRAKV,Softrak Venture Investments Ltd.,BSE only,BSE Equity,,XT,Active
4395,INE728Z01015,Y,SOFTTECH,543470,SOFTTECH,Softtech Engineers Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4396,INE624Z01016,Y,SOLARA,541540,SOLARA,Solara Active Pharma Sciences Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4397,INE343H01029,Y,SOLARINDS,532725,SOLARINDS,Solar Industries India Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4398,INE0W0H01017,Y,,544354,SOLARIUM,SOLARIUM GREEN ENERGY LIMITED,BSE only,BSE Equity,,M,Active
4399,INE0TY101024,Y,SOLARWORLD,544532,SOLARWORLD,Solarworld Energy Solutions Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4400,INE880Y01017,Y,SOLEX,,,Solex Energy Limited,NSE only,NSE Mainboard,EQ,,
4401,INE584G01012,Y,,513699,SOLIDSTON,Solid Stone Company Ltd.,BSE only,BSE Equity,,X,Active
4402,INE410A01013,Y,,522152,SOLIMAC,Solitaire Machine Tools Ltd,BSE only,BSE Equity,,X,Active
4403,INE1IIQ01028,Y,,544539,SOLVEX,Solvex Edibles Limited,BSE only,BSE Equity,,MT,Active
4404,INE355A01028,Y,SOMANYCERA,531548,SOMANYCERA,Somany Ceramics Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4405,INE314C01013,Y,SOMATEX,521034,SOMATEX,Soma Textiles & Industries Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4406,INE323J01019,Y,SOMICONVEY,533001,SOMICONVEY,Somi Conveyor Beltings Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4407,INE073K01018,Y,SONACOMS,543300,SONACOMS,Sona BLW Precision Forgings Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4408,INE321M01017,Y,SONAL,538943,SONAL,Sonal Mercantile Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4409,INE344I01017,Y,,526901,SONALAD,Sonal Adhesives Ltd.,BSE only,BSE Equity,,X,Active
4410,INE0N5O01013,Y,,543924,SONALIS,Sonalis Consumer Products Limited,BSE only,BSE Equity,,M,Active
4411,INE0Q6H01012,Y,SONAMAC,,,Sona Machinery Limited,NSE only,NSE SME (Emerge),SM,,
4412,INE00LM01029,Y,SONAMLTD,,,SONAM LIMITED,NSE only,NSE Mainboard,EQ,,
4413,INE269A01021,Y,SONATSOFTW,532221,SONATSOFTW,Sonata Software Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4414,INE0JZA01018,Y,SONUINFRA,,,Sonu Infratech Limited,NSE only,NSE SME (Emerge),ST,,
4415,INE0O2D01012,Y,SOTAC,,,Sotac Pharmaceuticals Limited,NSE only,NSE SME (Emerge),SM,,
4416,INE12Z301012,Y,,544832,SOTEFIN,Sotefin Bharat Limited,BSE only,BSE Equity,,M,Active
4417,INE035D01020,Y,SOTL,524667,SOTL,Savita Oil Technologies Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4418,INE695C01015,Y,,521036,SOURCEIND,Source Industries (India) Ltd,BSE only,BSE Equity,,XT,Active
4419,INE679C01027,Y,,531398,SOURCENTRL,Source Natural Foods & Herbal Suppl Ltd,BSE only,BSE Equity,,X,Active
4420,INE683A01023,Y,SOUTHBANK,532218,SOUTHBANK,The South Indian Bank Limited,NSE+BSE,NSE Mainboard,EQ,A,Active
4421,INE298B01010,Y,,540174,SOUTHERNIN,SOUTHERN INFOCONSULTANTS LIMITED,BSE only,BSE Equity,,X,Active
4422,INE308N01012,Y,,513498,SOUTHMG,Southern Magnesium And Chemicals Lt,BSE only,BSE Equity,,X,Active
4423,INE980Y01015,Y,SOUTHWEST,543986,SOUTHWEST,South West Pinnacle Exploration Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4424,INE410M01018,Y,,514454,SOUTLAT,Southern Latex Ltd.,BSE only,BSE Equity,,X,Active
4425,INE959D01013,Y,,523826,SOVERDIA,Sovereign Diamonds Ltd,BSE only,BSE Equity,,X,Active
4426,INE726X01014,Y,,542376,SPACAPS,SPA Capital Services Limited,BSE only,BSE Equity,,XT,Active
4427,INE797Z01028,Y,,541890,SPACEINCUBA,Space Incubatrics Technologies Limited,BSE only,BSE Equity,,XT,Active
4428,INE212I01016,Y,SPAL,540048,SPAL,S. P. Apparels Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4429,INE572J01011,Y,SPANDANA,542759,SPANDANA,Spandana Sphoorty Financial Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4430,INE960B01015,Y,,531370,SPAR,SPARC ELECTREX LIMITED,BSE only,BSE Equity,,X,Active
4431,INE232I01014,Y,SPARC,532872,SPARC,Sun Pharma Advanced Research Company Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4432,INE618F01010,Y,,530037,SPARKLEGR,SPARKLE GOLD ROCK LIMITED,BSE only,BSE Equity,,X,Active
4433,INE102F01015,Y,,530289,SPCAPIT,S.P.Capital Financing Ltd.,BSE only,BSE Equity,,X,Active
4434,INE970N01027,Y,SPCENET,,,Spacenet Enterprises India Limited,NSE only,NSE Mainboard,EQ,,
4435,INE0T7B01010,Y,SPCL,,,Shivalic Power Control Limited,NSE only,NSE SME (Emerge),SM,,
